username,repositorio,hash,linguagem_programacao
autor nulo,https://github.com/KDE/kde1-kdebase,04906bd5de2f220bf100b605dad37b4a1d9a91a6,C++
tlyu,https://github.com/krb5/krb5,cf1a0c411b2668c57c41e9c4efd15ba17b6b322c,C
antonblanchard,https://github.com/torvalds/linux,6c4841c2b6c32a134f9f36e5e08857138cc12b10,C
autor nulo,https://github.com/torvalds/linux,0b29669c065f60501e7289e1950fa2a618962358,C
pcmoore,https://github.com/torvalds/linux,2a2f11c227bdf292b3a2900ad04139d301b56ac4,C
autor nulo,https://github.com/Illydth/wowraidmanager,7dd6367ae85003dd5d715431b6ab695f2c2f200a,PHP
autor nulo,https://github.com/torvalds/linux,124d3b7041f9a0ca7c43a6293e1cae4576c32fd5,C
behdad,https://github.com/bratsche/pango,4de30e5500eaeb49f4bf0b7a07f718e149a2ed5e,C
autor nulo,https://github.com/memcached/memcached,75cc83685e103bc8ba380a57468c8f04413033f9,C
autor nulo,https://github.com/memcached/memcached,75cc83685e103bc8ba380a57468c8f04413033f9,C
kroki,https://github.com/memcached/memcached,d9cd01ede97f4145af9781d448c62a3318952719,C
autor nulo,https://github.com/ensc/irssi-proxy,85bbc05b21678e80423815d2ef1dfe26208491ab,C
autor nulo,https://github.com/ensc/irssi-proxy,85bbc05b21678e80423815d2ef1dfe26208491ab,C
autor nulo,https://github.com/ensc/irssi-proxy,85bbc05b21678e80423815d2ef1dfe26208491ab,C
AndyA,https://github.com/AndyA/CGI--Simple,e4942b871a26c1317a175a91ebb7262eea59b380,Perl
AndyA,https://github.com/AndyA/CGI--Simple,e4942b871a26c1317a175a91ebb7262eea59b380,Perl
AndyA,https://github.com/AndyA/CGI--Simple,e4942b871a26c1317a175a91ebb7262eea59b380,Perl
pawelz,https://github.com/Dieterbe/uzbl,9cc39cb5c9396be013b5dc2ba7e4b3eaa647e975,Batchfile
ebruchez,https://github.com/orbeon/orbeon-forms,aba6681660f65af7f1676434da68c10298c30200,Java
eaescob,https://github.com/Ettercap/ettercap,4ef3ede30181eca9add74305ad26dbcb0c3686a0,C
eaescob,https://github.com/Ettercap/ettercap,4ef3ede30181eca9add74305ad26dbcb0c3686a0,C
eparis,https://github.com/torvalds/linux,a2ae4cc9a16e211c8a128ba10d22a85431f093ab,C
kumpera,https://github.com/mono/mono,cf1ec146f7c6acdc6697032b3aaafc68ffacdcac,C
kumpera,https://github.com/mono/mono,cf1ec146f7c6acdc6697032b3aaafc68ffacdcac,C
kumpera,https://github.com/mono/mono,cf1ec146f7c6acdc6697032b3aaafc68ffacdcac,C
kaecyra,https://github.com/vanilla/vanilla,4535a059e4e24ca11a2ef0b4d754f262398bcece,PHP
kaecyra,https://github.com/vanilla/vanilla,4535a059e4e24ca11a2ef0b4d754f262398bcece,PHP
