hash	quantidade_linguagens
000030feb7a30f193197f1aab8a7b04a26b42735	1
0002d106a6cd35cb0a6fe03246531a4e3f32c9d0	1
0010d28de1b15d51db3976080e26357fa7144436	1
00194f5fe462123f70b0bae7987317b52898b868	1
001a3278b5572e52c0ecac0bd1157bf2599502b7	1
001a4c2493b13a43d62c7511fb509a959ae4abc2	1
002dc75f400cf307bd00b71a5a93f1e26e52cee2	1
00302787b788c5ff04cb6f62aed5a74d936e86c0	1
0031c41be5c529f8329e327b63cde92ba1284842	1
003c62d28ae438aa8943cb31535563397f838a2c	1
0048b4837affd153897ed1222283492070027aa9	1
005145378c9ad7575a01b6ce1ba118fb427f583a	1
0052500c1ed5bf8263b26b9fd7773dbdc6f170c4	1
00595351400523168e18a08e3ffa5c3b1e7c1f6e	1
005dc8e9eccc6ea35264064ae09e2e84af8d5b59	1
0060d421358ab59acb6a168eab0d11c43d2d105d	1
0061f393de54cf0326621c079dc2988336d1ebb3	1
0074062b5329c3d43679909fddce2d70608a4475	1
008ba2a13f2d04c947adc536d19debb8fe66f110	1
00921f22ff9a8792d7663ef8fadd4823402a6324	1
0096a3ebc85f6aadbda2c4427cd092a538b161d2	1
00acae117da1b45b318dc36531a7b0021b8097ae	1
00c425ec77993773d823f018f64a5c44e17023ff	1
00cfae5661124f9d67ac6733db61b2bfee34dccc	1
00d4606c3baf813b7b1c176823b2729bf51002a2	1
00e8181bd97c834fe60751b0c511d4bb97875f78	1
00e8f205475332d7842d0f0d1481eeab4e83017c	1
0102c5d4db7fdbf08b5b591b2a6264de33867a07	1
0108f1bde2117ac5c1e28d124128f60c8bb09a8e	1
010ccdc7303546cd22b9da687c29f4a996990014	1
01120163a6b4d905029d416e7305575df31df8af	1
01173ec2426627dbb1e0d96c06c3ffa0b14d36d0	1
012702eb3ba1663452aa025831caa304d1a665c0	1
0143fc5e9f6f5aad4764801015bc8d4b4a278200	1
014f6d3526a594109d4d6607c2f30b1865e37611	1
01521d614cb578de75a406394b4f0426f6036ba7	1
01629a162e448a83d901456d0ba8b65f3b03d46e	1
01686e15ec77ccb4d49a77d5bce3a01601e54d64	1
016a297b1bec55d2e53bc889458ed2cb5c3e9374	1
016ec99d25b1cb83cb4367e541177aa431beb600	1
017137471d0043e0321e377ed8da48e45a3ec632	1
0181cb0272857696c8eb3e44fcf6cb014ff90f09	1
0183ef8e89195f420c48d2600bc0b72f6d3a7fd7	1
0185604c2d82c560dab2f2933a18f797e74ab5a8	1
01924cd948dbceb8391be671dab672e9f4a0ffe8	1
0199e7e194dba5e7d7197703f43ebe22401e61ae	1
019c4f25d500ec5db9ba3b84cc961a7e4e850738	1
01ca667133d019edc9f0a1f70a272447c84ec41f	1
01ccb271d34258872b859c0fc1d253cc81341917	1
01cff3f986259d661103412a20745928c727326f	1
01ef56cd5824ed6da1c11b37013a027fdef67524	1
01f0625d6a177f9c5df9281f12a27c814c2d8bcf	1
01f47e04fd7c8d54399c9e465f823f0017069f8f	1
01faddbe2711a4156180c4a92837e2f23683cc68	1
0206ebe76f748bb39d9de4dd4b3fce777fdfdccf	1
0215324a66af949be39b34be2d55143232c1cb71	1
021ab572a319ca3db5907a33a59774f502b3b975	1
022949bd09444d7e58703cc537dbbd5744c381b8	1
024e5f23db8d8ad3449714b906b46094baaffb89	1
025e77fcb2f45b21689931ba3bf74eac153afa48	1
02738433bf2e1b820ef48f04edd15df304081802	1
0279fa7dff1752f1710707dbd1ffac839de8bbfc	1
027ef6c87853b0a9df53175063028edb4950d476	1
027f84c69f4ef30c0693832a6c396ef19e563ca1	1
0292de60ec78c5a44956765189403654fe4d080b	1
02c6a2b62ddcb6fa4569a591d3461a156a636305	1
02d76ab3737689bba95ffe9a1c69ca5166d71c6b	1
